X,Y,park_name,dpp_asset_id,program_type,site_class,building,gym,label_number,comments,data_source,objectid
-8367177.48411012,4873772.54569055,Awbury Park and Recreation Center,,PPR_REC,A,Y,N,, ,Programs 10/2025,1
-8349797.90217932,4883809.6051052,Daniel Boyle Memorial Recreation Center,,PPR_REC,A,Y,N,, ,Programs 10/2025,2
-8367867.41074199,4875346.79998136,Charles M Finley Playground,,PPR_REC,A,Y,Y,, ,Programs 10/2025,3
-8368416.39754034,4866265.06723417,James Allen Shuler Playground,,PPR_REC,A,Y,N,, ,Programs 10/2025,4
-8368055.25760322,4857534.66372946,Marian Anderson Recreation Center,,PPR_REC,A,Y,Y,, ,Programs 10/2025,5
-8375518.85586807,4859650.95815142,Howard Sayre Morris Recreation Center,,PPR_REC,A,Y,N,, ,Programs 10/2025,6
-8360238.05675562,4863975.75194636,Frank Glavin Playground,,PPR_REC,A,Y,N,, ,Programs 10/2025,7
-8369566.07356985,4861446.42100413,East Fairmount Park,,PPR_REC,A,Y,Y,,Located in East Fairmount Park,Programs 10/2025,8
-8374926.24663078,4865247.43273728,John C Anderson Cultural Center,,PPR_REC,A,Y,N,,Closed for Rebuild,Programs 10/2025,9
-8376637.72750162,4852605.45139581,William A Cibotti Recreation Center,,PPR_REC,A,Y,N,, ,Programs 10/2025,10
-8374759.34394793,4853637.55271552,J Francis Finnegan Playground,,PPR_REC,A,Y,N,, ,Programs 10/2025,11
-8368861.07380346,4853734.12753603,Commodore John Barry Playground,,PPR_REC,A,Y,N,, ,Programs 10/2025,12
-8366112.78464725,4853691.12855265,Lawrence E Murphy Recreation Center,,PPR_REC,A,Y,Y,, ,Programs 10/2025,13
-8368225.6036513,4854740.81848234,Thomas I Guerin Recreation Center,,PPR_REC,A,Y,Y,, ,Programs 10/2025,14
-8375699.83189637,4855214.60682593,John J McCreesh Sr Playground,,PPR_REC,A,Y,N,,,Programs 10/2025,15
-8367881.9356637,4855650.44064105,A Giuseppe DiSilvestro Playground,,PPR_REC,A,Y,N,,Mixed use building with CHOP/Free Library/Public Health/PPR,Programs 10/2025,16
-8369985.93664525,4855975.59522258,George A Vare Recreation Center,,PPR_REC,A,Y,Y,,2024-Rebuild Renovation Complete,Programs 10/2025,17
-8367257.14492301,4856247.70027514,Columbus Square,,PPR_REC,A,Y,N,, ,Programs 10/2025,18
-8365794.88279298,4856325.54847567,Solomon Sacks Playground,,PPR_REC,B,Y,N,, ,Programs 10/2025,19
-8366715.26798446,4856356.82112561,Dr Nicola Capitolo Playground,,PPR_REC,A,Y,N,, ,Programs 10/2025,20
-8370439.02256142,4856899.84928878,Donald P Finnegan Recreation Center,,PPR_REC,B,Y,N,, ,Programs 10/2025,21
-8368351.55004275,4856961.12214159,Charles H Chew Playground,,PPR_REC,A,Y,N,, ,Programs 10/2025,22
-8372317.56170116,4857511.13456919,48th and Woodland Playground,,PPR_REC,A,Y,N,, ,Programs 10/2025,23
